;name;platform;year_of_release
11000;demon chaos;ps2;2005
11016;samurai shodown anthology;psp;2009
11092;action man-operation extreme;ps;2000
11119;super puzzle fighter ii;gba;1996
11338;charm girls club: my fashion show;ds;2009
11377;face racers: photo finish;3ds;2011
11433;zero: tsukihami no kamen;wii;2008
11455;the hidden;3ds;2007
11550;get fit with mel b;x360;2010
11565;rock revolution;wii;2008
11622;happy feet two;wii;2011
11790;mega man battle network: operation shooting star;ds;2009
11832;smashing drive;gc;2000
11925;port royale 3;ps3;2012
11943;dream trigger 3d;3ds;2011
11954;dead island: riptide;pc;2013
11957;yoostar on mtv;x360;2011
12003;tornado;ds;2008
12011;mcfarlane's evil prophecy;ps2;2004
12046;drake of the 99 dragons;xb;2003
12209;build-a-bear workshop: friendship valley;wii;2010
12217;rayman arena;xb;2001
12221;port royale 3;x360;2012
12235;national geographic challenge!;x360;2011
12241;alex rider: stormbreaker;ds;2006
12524;chou soujuu mecha mg;ds;2006
12568;prinny: can i really be the hero? (us sales);psp;2008
12584;combat elite: wwii paratroopers;ps2;2005
12718;flip's twisted world;wii;2010
12734;mobile ops: the one year war;x360;2008
12784;tom clancy's rainbow six: critical hour;xb;2006
12880;jewel link chronicles: mountains of madness;ds;2012
12896;captain america: super soldier;wii;2011
12959;mountain bike adrenaline;ps2;2007
12970;drill dozer;gba;2005
13060;captain america: super soldier;ds;2011
13142;grid;ds;2008
13195;tour de france 2011;x360;2011
13289;reader rabbit 2nd grade;wii;1998
13317;monster hunter frontier online;ps3;2007
13564;rollercoaster tycoon;pc;1999
13609;battle vs. chess;ps3;2011
13647;the history channel: great battles - medieval;ps3;2011
13672;clockwork empires;pc;2014
13711;b.l.u.e.: legend of water;ps;1998
13781;grid;pc;2008
13792;nhl hitz pro;gc;2003
13874;luxor: pharaoh's challenge;wii;2007
13929;sega rally 2006;ps2;2006
14105;half-minute hero 2;psp;2011
14126;housekeeping;ds;2016
14141;major league baseball 2k8;psp;2008
14210;sabre wulf;gba;1984
14252;swords;wii;
14325;beyond the labyrinth;3ds;2012
14350;bikkuriman daijiten;ds;2007
14369;majesty 2: the fantasy kingdom sim;x360;2009
14449;fullmetal alchemist: brotherhood;psp;2009
14546;combat elite: wwii paratroopers;xb;2005
14597;samurai spirits: tenkaichi kenkakuden;ps2;2005
14685;world of tanks;x360;2010
14746;battle vs. chess;pc;2011
14749;tom and jerry in war of the whiskers;xb;2002
14769;super duper sumos;gba;2003
14931;the king of fighters: maximum impact - maniax;xb;2004
14950;combat wings: the great battles of wwii;wii;2012
15006;tube slider;gc;2003
15022;umineko no naku koro ni san: shinjitsu to gensou no yasoukyoku;ps3;2016
15079;payout poker & casino;psp;2006
15081;wii de asobu: metroid prime;wii;2002
15119;legacy of ys: books i & ii;ds;2009
15267;saint;wii;
15292;steal princess;ds;2008
15338;mario tennis;3ds;2000
15535;runaway: a twist of fate;ds;2009
15557;yu-gi-oh! 5d's wheelie breakers (jp sales);wii;2009
15675;cabela's alaskan adventure;ps2;2006
